time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-03T00:47:31.589Z,23.7111,121.5815,10,4.9,mb,,87,0.46,1.05,us,us70005bam,2019-09-03T01:36:02.040Z,"29km S of Hualian, Taiwan",earthquake,2.2,1.9,0.117,23,reviewed,us,us
2019-09-03T00:30:33.190Z,34.4586667,-118.4811667,16.9,2.74,ml,83,14,0.04876,0.27,ci,ci39037232,2019-09-04T05:04:32.443Z,"5km NNE of Santa Clarita, CA",earthquake,0.26,0.73,0.203,26,automatic,ci,ci
2019-09-02T23:58:25.510Z,19.0791,-66.239,98,3.25,md,3,327,1.2382,0.05,pr,pr2019245015,2019-09-03T03:38:07.716Z,"68km N of Dorado, Puerto Rico",earthquake,7.17,5.21,0,1,reviewed,pr,pr
2019-09-02T23:37:07.652Z,67.5301,-160.6052,4,2.5,ml,,,,0.5,ak,ak019b9kkxxv,2019-09-03T03:41:35.040Z,"100km E of Noatak, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-09-02T22:45:48.885Z,23.7752,-45.2273,10,5.9,mww,,39,16.622,0.6,us,us70005b9q,2019-09-03T19:01:28.040Z,"Northern Mid-Atlantic Ridge",earthquake,9.1,1.8,0.071,19,reviewed,us,us
2019-09-02T22:08:39.000Z,36.92833333,-97.4745,7.65,3.24,ml,57,93,0,0.23,ok,ok2019rfmp,2019-09-03T19:18:32.815Z,"16km SE of Caldwell, Kansas",earthquake,,0.7,0.19,25,reviewed,ok,ok
2019-09-02T20:53:30.565Z,-24.0769,-67.0467,176.42,4.9,mww,,56,1.527,1.2,us,us70005b8m,2019-09-02T21:18:45.040Z,"75km WNW of San Antonio de los Cobres, Argentina",earthquake,5.9,6.3,0.073,18,reviewed,us,us
2019-09-02T19:49:44.490Z,-20.6018,-177.9332,504.25,4.4,mb,,134,4.739,0.95,us,us70005b8f,2019-09-02T20:56:09.040Z,"80km E of Ndoi Island, Fiji",earthquake,15.1,7.3,0.087,38,reviewed,us,us
2019-09-02T18:16:06.230Z,18.9985,-64.7518,50,2.77,md,5,345,1.6046,0.21,pr,pr2019245014,2019-09-02T21:30:50.040Z,"21km N of Road Town, British Virgin Islands",earthquake,3.99,13.14,0.3,3,reviewed,pr,pr
2019-09-02T17:53:59.770Z,19.3430004,-155.1230011,1.4,2.59,ml,34,132,0.0417,0.35,hv,hv71121767,2019-09-02T17:59:40.580Z,"15km SE of Volcano, Hawaii",earthquake,0.58,0.61,0.53,9,automatic,hv,hv
2019-09-02T17:34:12.360Z,41.3746681,-122.1363297,7.07,2.73,md,20,117,0.06219,0.19,nc,nc73263850,2019-09-03T15:17:32.114Z,"13km N of McCloud, CA",earthquake,0.45,1.2,0.16,20,automatic,nc,nc
2019-09-02T16:35:27.820Z,-14.0297,-72.6001,80,5,mb,,73,4.605,1.03,us,us70005b70,2019-09-03T02:04:24.180Z,"53km SE of Abancay, Peru",earthquake,8,1.9,0.03,352,reviewed,us,us
2019-09-02T16:24:36.990Z,19.422,-155.2746667,0.2,2.57,ml,54,40,0.003887,0.1,hv,hv71121642,2019-09-03T13:22:52.040Z,"3km WSW of Volcano, Hawaii",earthquake,0.12,0.1,0.172,20,reviewed,hv,hv
2019-09-02T15:46:36.395Z,39.2348,40.1384,10,4.3,mb,,64,0.829,0.8,us,us70005b6p,2019-09-02T16:41:46.040Z,"6km E of Yayladere, Turkey",earthquake,2.9,1.9,0.188,8,reviewed,us,us
2019-09-02T13:02:45.272Z,80.0639,-0.6557,10,5.2,mb,,45,2.578,1.09,us,us70005b6f,2019-09-02T13:34:33.040Z,"North of Svalbard",earthquake,7.3,1.4,0.026,505,reviewed,us,us
2019-09-02T09:57:19.855Z,58.3927,-152.7506,39.3,2.5,ml,,,,0.59,ak,ak019b9cd6s8,2019-09-02T23:30:26.520Z,"70km NNW of Kodiak, Alaska",earthquake,,1.3,,,automatic,ak,ak
2019-09-02T09:24:57.938Z,-6.1835,130.2336,166.35,5,mb,,70,2.076,1.01,us,us70005b5q,2019-09-02T09:39:47.040Z,"229km NNW of Saumlaki, Indonesia",earthquake,3.2,8.1,0.156,13,reviewed,us,us
2019-09-02T08:03:26.350Z,35.6633333,-117.5258333,6.3,2.56,ml,37,36,0.05422,0.16,ci,ci39035224,2019-09-03T00:29:31.381Z,"14km ENE of Ridgecrest, CA",earthquake,0.21,0.6,0.16,24,automatic,ci,ci
2019-09-02T06:48:24.871Z,12.3877,144.6651,10,4.8,mb,,131,1.21,0.58,us,us70005b53,2019-09-02T07:36:06.040Z,"97km S of Merizo Village, Guam",earthquake,11,1.9,0.055,102,reviewed,us,us
2019-09-02T06:41:48.770Z,12.3214,144.8473,10,5,mb,,141,1.26,0.99,us,us70005b4r,2019-09-02T06:58:44.040Z,"105km S of Inarajan Village, Guam",earthquake,11.7,1.9,0.054,109,reviewed,us,us
2019-09-02T05:55:41.262Z,0.3658,-103.0326,10,4.4,mb,,215,12.789,0.71,us,us70005b4h,2019-09-02T06:31:09.040Z,"Galapagos Triple Junction region",earthquake,15.7,2,0.059,83,reviewed,us,us
2019-09-02T05:33:59.970Z,19.1713,-66.1315,24,2.47,md,13,300,0.8002,0.2,pr,pr2019245008,2019-09-02T07:30:10.138Z,"78km N of San Juan, Puerto Rico",earthquake,1.03,14.46,0.38,13,reviewed,pr,pr
2019-09-02T04:55:14.310Z,33.6525,-117.3305,3.2,2.77,ml,103,28,0.07977,0.22,ci,ci39034816,2019-09-02T17:36:38.486Z,"2km S of Lake Elsinore, CA",earthquake,0.19,0.53,0.179,25,automatic,ci,ci
2019-09-02T04:07:48.770Z,18.7418,-67.2996,37,2.49,md,9,263,0.3328,0.09,pr,pr2019245004,2019-09-02T07:29:34.802Z,"34km NW of San Antonio, Puerto Rico",earthquake,0.68,1.19,0.29,7,reviewed,pr,pr
2019-09-02T04:05:04.610Z,33.649,-117.3335,5.73,3.19,ml,139,29,0.07719,0.24,ci,ci39034704,2019-09-03T20:41:48.263Z,"2km NE of Lakeland Village, CA",earthquake,0.13,0.64,0.157,194,reviewed,ci,ci
2019-09-02T03:59:21.630Z,37.187,-112.892,17.65,2.95,ml,23,44,0.1791,0.2,uu,uu60338487,2019-09-03T22:20:48.895Z,"21km NNE of Hildale, Utah",earthquake,0.4,0.81,0.158,11,reviewed,uu,uu
2019-09-02T02:59:15.590Z,19.2,-155.4481667,37.27,2.85,ml,67,123,0.0228,0.12,hv,hv71120652,2019-09-03T01:40:12.130Z,"4km E of Pahala, Hawaii",earthquake,0.38,0.48,0.126,43,reviewed,hv,hv
2019-09-02T02:53:30.250Z,19.2236,-67.2605,26,2.62,md,3,337,0.7707,0.41,pr,pr2019245002,2019-09-02T05:49:28.425Z,"82km NNW of San Antonio, Puerto Rico",earthquake,5.01,27.33,0.35,3,reviewed,pr,pr
